BOOK_TITLE | Soccer Star
SOCCER_STAR_PAGE_27 | Ms. Manley calls an ambulance from a nearby telephone. It arrives soon and transports you to a hospital for X rays. The diagnosis is a fractured leg. <br>The next day Coach Drake comes to visit you. "Tough break," he says. "The doctor tells me you'll be good as new but that it will take a few months. I'm afraid you're out for the season."<br>"That's the way it goes," you say. "Maybe Sean will lay off me now." <br>The coach asks you what happened, and you tell him all about the fight.

SOCCER_STAR_PAGE_28 | "Sorry, Coach," you say, "but I think I'd like to keep playing for the club team.<br>Coach Drake looks surprised. Then he seems to understand. "Something else catch your fancy?"<br>"Like another sport?" you ask.<br>"Another sport, or science, or music-any- thing that excites you," he answers.<br>"Nothing special really," you reply.<br>"Well, soccer is special to me. I have to admit I'm fanatic about it," he says. "But there's no reason it has to be special for you. The main thing is to find something that is, then really get into it. It makes life a lot more interesting." The coach grins, waves good-bye, and is on his way.<br>As you're walking back to the gym, you bump into Mike.<br>"Hey, what did the coach say to you?" he asks. "Is he going to make you a soccer star?"<br>You shake your head. "I think I'll be another kind of star."<br>"What kind?" Mike asks.<br>"Don't know yet," you say. "You'll just have to wait and see."<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_29 | It's not until the next morning that you find out the truth. A headline in the Hillsdale paper reads: <br><br><align="center"><b>TWELVE PEOPLE ALMOST DROWN ON SUBMARINE RIDE! OFFICIALS CLOSE DAREDEVIL PARK AGAIN.</b></align><br>A couple of days later you and Mike each receive a thousand-dollar check from Daredevil Park to compensate for your "inconvenience and anguish." With it comes a T-shirt that says, <i>I survived the submarine ride at Daredevil Park</i>.<br>Naturally everyone at school wants to hear about what happened. You and Mike are the center of attention. There's not much hope of your becoming a soccer star anymore, but at least you've become famous at Hillsdale Central School.<br><br><align="center"><b>The End</b></align>

SOCCER_STAR_PAGE_30 | "Friends?" you ask, holding out your hand.<br>It takes a moment, but Sean shakes your hand. He squeezes it really tight, as if trying to crush it, but he's not that strong. When he sees he can't hurt your hand, he gives a little grunt, turns, and walks off.<br>On the way home, you wonder how Sean will act next time he sees you. To your surprise, the next day he shows up at practice. Word around the locker room is that he apologized to Coach Drake and has been allowed back on the team. You expect that he'll be trying to reclaim the center halfback position, but the coach decides to try him as goalie. He tells you to try to kick balls into the goal while Sean defends.<br>Finally a chance for revenge, you tell yourself, and you shoot with all the strength you can mus- ter. You score a few times, but Sean blocks you a lot.<br>After practice, Coach Drake gets the two of you together. "I never saw two players work so hard," he says. "You would have thought it was the tryout for the World Cup team."<br>"Thanks, Coach," you both say at the same time. He claps you each on the shoulder. "I guess this all worked out. If you play as hard against our opponents as you did against each other, both of you are going to be soccer stars."<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_32 | With that, he closes the hatch to the conning tower and twists the brass wheel attached to seal it tight. Then he turns several of the knobs on the control panel. The engines jump to life with a low, steady hum. The sub tilts forward.<br>You feel the craft begin to dive. Then you squirm around to peer through the thick glass portholes on either side of the compartment. You see the water level coming up and bubbles rising. Soon the sub is completely submerged.<br>"How deep are we going, Captain?" someone asks.<br>He turns and flashes a strange grin. "To the abyssal deep-in search of the giant squid."<br>You, Mike, and your fellow passengers ex- change curious glances. This Captain Nemo is really into the spirit of the ride.<br>"He's a real ham," Mike says. "But I'm afraid this ride is going to be a pretty tame one after all."<br>So far it seems that way, yet you wonder. You've heard that nothing is tame at Daredevil Park.

SOCCER_STAR_PAGE_33 | It's going to take more than threats to keep you from playing. On Friday, you show up for practice with the varsity team and throw yourself right into the workout.<b>The coach has everyone practice dribbling the ball past a couple of defenders while he yells instructions from the sidelines.<br>"Eyes up. Keep your body between the ball and the defender. Use your shoulder, side, or rump to block his way."<br>Just before it's your turn, Coach Drake lays a hand on your shoulder and gives you some advice. "Want to get past him? Jerk your head left to make him think you're going left. At the moment he commits himself, cut right. Keep eye contact with him. It makes the fake more convincing. Or if he comes at you at an angle from the right, try moving sharp right yourself. He'll have to practically stop to change direction."<br>You try to put what the coach has told you to work on the field. You get the ball past the first defender but lose it to the second one. Next you practice the give-and-go with another player, moving pretty far up the field before you lose the ball. You're not the best, but you're doing pretty well. That's what the coach thinks, too, because he comes up and pats you on the back.

SOCCER_STAR_PAGE_35 | The next day you show up at the varsity team tryouts. Coach Drake, a short, muscular man with darting black eyes, instructs everyone to run around the field three times to warm up. Then he leads you in what he calls "body building" exercises - jumping jacks, push-ups, sit-ups, duck walks - each more exhausting than the last. The workout continues until you feel like quitting for the day. But it's just the beginning. Drake barks for attention and lines you up like a platoon of soldiers.<br>"I'm going to divide you into practice teams," he says. "If you've played a position in the past, you can stick to it or try a new one. For those of you here for the first time, keep this in mind before deciding what to play. If you want to be a forward, you need to be a really good sprinter. You've got to be aggressive and have the agility to score. Halfbacks have to be complete players and need tremendous endurance. They do more running than anyone. Fullbacks should be strong and tough, determined never to let the ball be- tween them and the goal. Anyone who wants to be goalie may have to be the best of all. You need quick eyes, hands, and feet and even quicker instincts."<br> All at once, everyone shouts out what they want to play. The coach assigns positions, sometimes as requested and sometimes where he thinks best. He looks you up and down and assigns you to play center halfback. 

SOCCER_STAR_PAGE_36 | You decide your wing has a better shot. You kick cleanly, straight to Kalbacher. He tries to trap the ball but it bounces off his knee. A Weston halfback darts in and, with a tremendous burst of speed, heads toward your goal. You chase him frantically, stretching at the last moment in a desperate attempt to knock the ball away. You come up inches short. The Weston player lifts a shot over your body and past your goalie's outstretched hands. Weston leads 2-1.<br>"Don't give up," Coach Drake shouts from the sideline. "Other teams lose. We're Hillsdale!"<br>You play all out, but there just isn't enough time to catch up. When the game ends, you and your teammates congratulate the new state champs and walk despondently off the field. You can't stop thinking about how you missed that last chance to score.<br>"Don't look so downcast," says the coach. "You played a terrific game."<br>"I didn't feel so terrific when I muffed that scoring opportunity," you say.<br>"You mean when you made that pass to the corner instead of taking the ball down to the goal yourself? That was a judgment call. What you did is normally good strategy. Your kick had to be absolutely true to avoid interception, and it was. If Kalbacher had trapped it neatly, he could have set up a score."<br>"He didn't have much time," you say.

SOCCER_STAR_PAGE_37 | The Bears fight furiously to get back that goal. You feel as if you're running the marathon as you race to stop each attack. The Bears drive deep and shoot. Your goalie makes an unbelievable save. He holds the ball, then punts it up the sideline.<br>You're there to trap it, along with three Bears. You can't wait for it to hit the ground. You glance around to see who's where and leap, heading the ball to Dave Piper, your wing.<br>Dave and you move downfield, working a perfect give-and-go. There's only the goalie to beat. You fake another pass to Dave, forcing the goalie to slide toward him. Then you lift the ball soft and easy over his head. It bounces behind him and rolls into the goal: 4-2 Buffs.<br>That's the way the game ends. You race toward your teammates, whooping with excitement. It's only the camp wrap-up game, but it feels like the World Cup!<br>On the way back to the locker room, not one but three college scouts stop to congratulate you.<br>"Don't break a leg, and don't flunk any courses," one of them says, with a grin, "and you'll get a full scholarship to just about any college you want."<br><br><align="center"><b>The End</align></b>

SOCCER_STAR_PAGE_38 | Both players collide and fall to the ground. One of them lets out a yelp. Just as the whistle sounds, you feel a sharp blow to your calf-a deliberate kick from Sean! You whirl, but he's already loping toward the fallen players.<br>"Hey!" you yell, limping after him. But he doesn't look back. You realize that no one has seen what just happened.<br>One of the players who collided had the wind knocked out of him, and some of the others help him off the field to rest. Otherwise no one is injured. Except you. You can still walk and run, but it hurts. You're definitely going to lose some speed.

SOCCER_STAR_PAGE_39 | The referee has given the other side an indirect kick. Everyone is getting into position before play resumes. You jog along, trying to loosen up your calf, angry about the cheap shot. You wonder whether you should alert the coach to what Sean did. You know Sean will say it was just an accident, and there's no way to prove it wasn't. Maybe you should just ignore what happened and continue playing as hard as you can. Or maybe you should give Sean some of his own medicine!

SOCCER_STAR_TRANSITION_PAGE_56 | You alert the coach to Sean's trick
SOCCER_STAR_TRANSITION_PAGE_17 | You ignore what happened and stay in the game
SOCCER_STAR_TRANSITION_PAGE_114 | You decide to give Sean some of his own medicine

SOCCER_STAR_PAGE_40 | Sean waves a menacing fist at you. "What are you going to do now that the coach isn't around?"<br>His attitude is beginning to bother you. You wonder if you should call his bluff and see how tough he really is. Of course, there are more rational ways of handling his type, too.

SOCCER_STAR_TRANSITION_PAGE_25 | You say "Get out of my way, Sean!"
SOCCER_STAR_TRANSITION_PAGE_69 | You calmly walk around him
SOCCER_STAR_TRANSITION_PAGE_76 | You stop and reason with him

SOCCER_STAR_PAGE_42 | Moments later, the sub lurches and begins to tilt even more. The view through the windows grows darker, giving the illusion that the sub is diving very deep, though of course it's not. This isn't the real ocean after all.<br>"Three hundred meters beneath the surface,'' Captain Nemo calls out. "We're now below the depth where sunlight penetrates. I'll turn on our floodlights."<br>The water outside the portholes immediately brightens. Large masses of bubbles float along- side the craft. A pair of sharks swim by. They look remarkably real, but of course they're fake.<br>"We're still tilted," Mike says. "Guess we're still diving. "<br>"Pretending we're diving," you correct. "That's just a machine making those bubbles."<br>A school of strangely colored fish swim by. Then a giant octopus gropes at the ship with two of its eight slimy arms. You know it's fake, but you are oohing and aahing right along with all the other passengers.<br>Suddenly, a sound like ice cracking on a lake reverberates through the craft, startling you for an instant.<br>"Nothing to be concerned about," Captain Nemo assures you. "That's just the hull adjusting to pressure - we're now fifteen hundred meters below the surface."

SOCCER_STAR_PAGE_43 |  Several people, including Mike, chuckle when they hear this.<br>"I thought this was going to be scary," Mike says. "It's turning out to be a comedy-" He breaks off as the sub unexpectedly levels and turns wildly.<br>"Look at that," shrieks a woman next to you, pointing with both fear and fascination at the nearest porthole.<br>You spin around and gasp.

SOCCER_STAR_PAGE_44 | A couple of weeks into the club season, you're in the middle of a game when you notice Coach Drake from the varsity team on the sidelines. You're not surprised to see him. You'd heard that he likes to check in to see how the club players are doing.<br>Shouts from down the field quickly snap your attention back to the action. The ball's coming at you. Instead of waiting for it to arrive, you run to meet it and smoothly trap it.<br>An opposing player is charging you. Eyes on him, you jerk your head to the left and shift your foot as if you're going to sprint in the same direction. The defensive man changes course to intercept you, but you're too quick. In a split sec- ond you switch feet and kick the ball ahead to the right, then explode after it, regaining control before the other player can recover.<br>You dribble another dozen yards. Two more opponents are barreling toward you, but your left wing forward is free. You drill him a swift pass. The players covering you hesitate. You race between them, straight toward the opponent's goal.<br>As you run, you watch your wing take the ball down into the corner. Seeing you break clear, he fires it back to you. You trap the ball, stop- ping it dead. Only the goalie stands between you and scoring.

SOCCER_STAR_PAGE_45 | Coughing and gasping, you try to swim toward the bank. You hit a rock and spin crazily in the torrent. Your head is trapped beneath the surface for several seconds. Then miraculously the current drives you into gentler waters. Through the darkness you can make out the jagged outline of the riverbank several hundred yards away.

SOCCER_STAR_PAGE_46 | You stroke toward the shore, but once again the current catches you, farcing you toward a rock ledge jutting a few inches out of the water. You crawl up on it and collapse, exhausted, with the waves still washing over you. If the river rises any more, you're finished. You don't have the strength to go on.

SOCCER_STAR_PAGE_48 | You decide not to take the course, and so do about half a dozen others. True to his word, Dr. Edelman doesn't seem at all bothered. He shakes hands with each of you.<br>"Be sure to tell your parents that I said they should not be annoyed with you for leaving," he says to the students exiting. "They can call me and I'll tell them the same thing: I think that you're more likelyto accomplish something useful if it's something you want to do. You may discover that by going home and doing something else for the summer. You wouldn't find it if you were forced to stay here."<br>Your parents are disappointed when they hear you didn't stick with the program, but when you explain what Dr. Edelman said, they seem to understand.<br>"Maybe it's not too late for soccer camp," your dad says. He calls Coach Drake and talks with him awhile. When he hangs up he gives you the thumbs-up sign. "There's just one place open, and you've got it. The bus leaves at 8:00 A.M. tomorrow. "<br>"All right!" you exclaim. "Guess I better get my gear together."<br>The next morning you and six of your pals from the Hillsdale soccer team board the bus for camp. This is going to be a great summer, after all, you think.

SOCCER_STAR_PAGE_49 | Ms. Finley is a middle-aged, dark-haired woman with horn-rimmed eyeglasses. Every time you've seen her she's been wearing a black dress.<br>When you enter her office, she comes around from her desk and shakes your hand. No sur- prise, she is wearing a black dress.<br>"Have a seat. Relax," she says.<br>"Thanks." You take the chair across from her desk while she returns to her own.<br>"How are things going?" she asks.<br>"Okay, I guess," you answer quietly.<br>Ms. Finley sifts through some papers in a folder. "Coach Drake thinks there's a chance you could become a soccer superstar," she says. "I play okay," you reply. You're a little embarrassed to hear such praise, especially from the school principal. Besides that, you're wondering what Ms. Finley is leading up to.<br>"Academically..." She pauses a moment, sifting through more papers. "Your teachers say that you have a lot of ability but that you don't seem very involved. What's your feeling about that?"<br>"Well, I guess I haven't been putting in as much time on homework as I should," you say.<br>"I'm not going to tell you to work harder," she says.<br>"Really?" you reply.<br>Ms. Finley has a twinkle in her eye. She obviously enjoys keeping you guessing. You can't imagine what's coming next.

SOCCER_STAR_PAGE_51 | There's not much time left. You'll have to head for the goal yourself.You stop and wind up your right leg as if to pass to the left corner. Then you sweep the ball a few yards to the right, speed-dribbling down the field toward the goal. Three Weston players scramble to intercept you, but you're only a few yards away from the goal, approaching it at a forty-five-degree angle. Your fake has given you a clean kick!<br>Lindholm, the Weston goalie, is positioned a little toward the side you're coming from. He crouches, weight forward, hands up over his knees, palms out, ready for anything.<br>Now it's your move.

SOCCER_STAR_TRANSITION_PAGE_89 | You aim your kick just inside the nearest post.
SOCCER_STAR_TRANSITION_PAGE_58 | You try to beat Lindholm with a wide kick just inside the far post
SOCCER_STAR_TRANSITION_PAGE_108 | You try to kick over Lindholm's head

